ppe_types_requested,datecreated,facility_type,stateprovince,county,censustractfips
"N95 Respirators, Face Shields, Hand Sanitizer, Disinfecting Wipes, Gowns, Surgical Masks",2020-04-03 06:44:32+00:00,,MA,Middlesex,25017382300
"Face Shields, Nitrile Gloves, Disposable Booties, Gowns, N95 Respirators",2020-04-03 06:45:00+00:00,"Long-term care or residential healthcare facility  (including nursing home, skilled nursing facility, hospice, group home, assisted living facility, residential substance treatment facility)",MA,Essex,25009268400
"Thermometers, Disinfecting Wipes, Disposable Booties, Gowns, N95 Respirators, Nitrile Gloves, Hand Sanitizer, Cloth Masks, Face Shields",2020-04-03 06:45:00+00:00,"Long-term care or residential healthcare facility  (including nursing home, skilled nursing facility, hospice, group home, assisted living facility, residential substance treatment facility)",MA,Essex,25009268400
"Surgical Masks, Gowns, Coveralls / Bunny Suits, Hand Sanitizer, N95 Respirators, Face Shields",2020-04-03 06:47:25+00:00,,NJ,Hudson,34017014101
"Nitrile Gloves, Hand Sanitizer, Gowns, Face Shields, Thermometers, Disinfecting Wipes, N95 Respirators",2020-04-03 06:49:00+00:00,,IL,Cook,17031801606
"N95 Respirators, Disposable Booties, Nitrile Gloves, Nitrile Gloves, Thermometers, Thermometers, Cloth Masks, Cloth Masks, Gowns, N95 Respirators, Hand Sanitizer, Disposable Booties, Hand Sanitizer, Disinfecting Wipes, Disinfecting Wipes, Face Shields, Face Shields, Gowns",2020-04-03 06:50:00+00:00,"Long-term care or residential healthcare facility  (including nursing home, skilled nursing facility, hospice, group home, assisted living facility, residential substance treatment facility)",IN,Marion,18097340113
"Gowns, Disinfecting Wipes, Nitrile Gloves, Surgical Masks, Hand Sanitizer",2020-04-03 06:50:03+00:00,,TX,Travis,48453033200
"Disposable Booties, Gowns, Face Shields, Surgical Masks, N95 Respirators, Coveralls / Bunny Suits",2020-04-03 06:50:12+00:00,,NJ,Passaic,34031182100
"Face Shields, Disposable Booties, Disinfecting Wipes, N95 Respirators, Surgical Masks, Gowns",2020-04-03 06:52:42+00:00,,NY,Suffolk,36103190801
"Thermometers, Face Shields, Surgical Masks, Hand Sanitizer",2020-04-03 06:54:18+00:00,,TX,Lubbock,48303000411
"Gowns, N95 Respirators, N95 Respirators, Gowns, Surgical Masks, Face Shields, Gowns, Surgical Masks, Surgical Masks, N95 Respirators, Face Shields, Face Shields",2020-04-03 06:56:00+00:00,,CA,San Mateo,06081602400
"Gowns, Surgical Masks, Face Shields, Cloth Masks",2020-04-03 06:56:00+00:00,Other,NJ,Cape May,34009020700
N95 Respirators,2020-04-03 06:57:00+00:00,Acute care hospital,MS,Rankin,28121020304
"Cloth Masks, Hand Sanitizer, Nitrile Gloves, Disinfecting Wipes, Disposable Booties, Gowns, Face Shields, N95 Respirators",2020-04-03 06:57:00+00:00,Acute care hospital,TN,Perry,47135930201
"Hand Sanitizer, N95 Respirators, Disinfecting Wipes, Face Shields",2020-04-03 07:00:00+00:00,Other,FL,Martin,12085000603
"N95 Respirators, Gowns, Face Shields, Surgical Masks",2020-04-03 07:00:51+00:00,,NJ,Essex,34013004600
"Coveralls / Bunny Suits, Disinfecting Wipes, Face Shields, Hand Sanitizer, N95 Respirators",2020-04-03 07:01:31+00:00,,NJ,Passaic,34031182900
"Surgical Masks, N95 Respirators",2020-04-03 07:02:55+00:00,,CT,Middlesex,09007570300
"Disinfecting Wipes, Hand Sanitizer, Coveralls / Bunny Suits, Disposable Booties, Face Shields, Surgical Masks, N95 Respirators, Thermometers, Gowns, Nitrile Gloves",2020-04-03 07:04:57+00:00,,TX,Collin,48085031647
"Face Shields, Gowns, Hand Sanitizer, Gowns, Disinfecting Wipes, Disinfecting Wipes, N95 Respirators, Nitrile Gloves, N95 Respirators, Cloth Masks, Cloth Masks, Thermometers, Thermometers, Hand Sanitizer, Nitrile Gloves, Face Shields",2020-04-03 07:07:00+00:00,,IL,Cook,17031822302
"Nitrile Gloves, Hand Sanitizer, Gowns, N95 Respirators, Surgical Masks, Thermometers, Face Shields, Disinfecting Wipes",2020-04-03 07:07:27+00:00,,MA,Barnstable,25001015300
"Face Shields, Coveralls / Bunny Suits, Gowns, Surgical Masks, Thermometers, Nitrile Gloves, N95 Respirators, Disinfecting Wipes, Disposable Booties, Hand Sanitizer",2020-04-03 07:07:35+00:00,,AL,Madison,01089003100
"Gowns, N95 Respirators",2020-04-03 07:08:00+00:00,"Emergency medical services, urgent care clinic, or freestanding emergency room",VA,Henrico,51087200151
"Hand Sanitizer, N95 Respirators, N95 Respirators, Thermometers, Disinfecting Wipes, Gowns, Thermometers, Disinfecting Wipes, Nitrile Gloves, Face Shields, Face Shields, Nitrile Gloves, Disposable Booties, Disposable Booties, Gowns, Hand Sanitizer",2020-04-03 07:14:00+00:00,Other,IL,Cook,17031838200
"Nitrile Gloves, Thermometers, Cloth Masks, Face Shields, Gowns, Disposable Booties, Hand Sanitizer, N95 Respirators",2020-04-03 07:14:00+00:00,Acute care hospital,NJ,Middlesex,
"N95 Respirators, Disinfecting Wipes",2020-04-03 07:14:00+00:00,,NJ,Burlington,34005702806
"N95 Respirators, Surgical Masks",2020-04-03 07:16:01+00:00,,MD,Anne Arundel,24003980000
"Cloth Masks, Face Shields, Hand Sanitizer, Surgical Masks, Thermometers, Disinfecting Wipes, Gowns",2020-04-03 07:17:00+00:00,,MO,Jackson,29095003800
"Disinfecting Wipes, Thermometers, N95 Respirators, Hand Sanitizer, Gowns, Cloth Masks, Face Shields",2020-04-03 07:18:00+00:00,Other,CT,New Haven,09009165600
"Face Shields, N95 Respirators",2020-04-03 07:19:00+00:00,Other,MA,Essex,25009253204
"N95 Respirators, Face Shields",2020-04-03 07:19:00+00:00,Other,MA,Essex,25009253204
"Hand Sanitizer, Disinfecting Wipes, N95 Respirators, Nitrile Gloves",2020-04-03 07:20:17+00:00,Other,OR,Washington,41067031507
"Face Shields, Nitrile Gloves, Disinfecting Wipes, Surgical Masks, Gowns, Disposable Booties, Hand Sanitizer, N95 Respirators, Thermometers",2020-04-03 07:21:16+00:00,,MA,Bristol,25005650102
"Thermometers, Disinfecting Wipes, N95 Respirators, Gowns, Hand Sanitizer, Face Shields",2020-04-03 07:23:00+00:00,,NJ,Orange,
"Gowns, Cloth Masks, Nitrile Gloves, Thermometers, Hand Sanitizer, Disinfecting Wipes, Face Shields, Disposable Booties, N95 Respirators",2020-04-03 07:26:00+00:00,Other,NC,Buncombe,
"N95 Respirators, Coveralls / Bunny Suits, Face Shields, Surgical Masks",2020-04-03 07:26:22+00:00,,CA,Riverside,06065044602
"Disposable Booties, Gowns, Surgical Masks, Hand Sanitizer, Disinfecting Wipes",2020-04-03 07:27:23+00:00,,OK,Cleveland,40027201514
"Disposable Booties, Surgical Masks, Gowns, N95 Respirators, Nitrile Gloves, Face Shields",2020-04-03 07:27:49+00:00,,NV,,32510000501
"Face Shields, Gowns, N95 Respirators, Hand Sanitizer, Disinfecting Wipes",2020-04-03 07:28:00+00:00,Other,OH,Ottawa,39123050500
"Nitrile Gloves, Disinfecting Wipes, Thermometers, Face Shields, Hand Sanitizer, N95 Respirators",2020-04-03 07:28:00+00:00,,VA,Smyth,51173030302
"Disinfecting Wipes, Nitrile Gloves, Thermometers, Face Shields, Hand Sanitizer, Surgical Masks",2020-04-03 07:29:00+00:00,Other,VA,Fairfax,
N95 Respirators,2020-04-03 07:29:00+00:00,,NC,Catawba,37035011000
"Hand Sanitizer, Surgical Masks, N95 Respirators",2020-04-03 07:29:15+00:00,,MA,Middlesex,25017368400
"Surgical Masks, Cloth Masks, Nitrile Gloves, Disinfecting Wipes, Gowns, Hand Sanitizer",2020-04-03 07:31:00+00:00,Other,IL,Cook,17031020100
"Face Shields, Face Shields, Face Shields, N95 Respirators, Gowns, Gowns, Gowns, N95 Respirators, Gowns, N95 Respirators, Disposable Booties, Disposable Booties, Disposable Booties, Disposable Booties, Face Shields, N95 Respirators",2020-04-03 07:31:00+00:00,,MI,Wayne,26163515300
"N95 Respirators, Disinfecting Wipes, Cloth Masks, Hand Sanitizer, Hand Sanitizer, Nitrile Gloves, Disinfecting Wipes, Disposable Booties, N95 Respirators, Gowns, Gowns, Cloth Masks, Nitrile Gloves, Face Shields, Face Shields, Thermometers, Thermometers, Disposable Booties",2020-04-03 07:32:00+00:00,Acute care hospital,TX,Denton,48121020402
"Face Shields, Gowns, Cloth Masks, N95 Respirators, Gowns, Cloth Masks, Nitrile Gloves, Nitrile Gloves, Face Shields, Disinfecting Wipes, Disinfecting Wipes, N95 Respirators",2020-04-03 07:34:00+00:00,,FL,Duval,12031011800
"Thermometers, Nitrile Gloves, Gowns, Hand Sanitizer, N95 Respirators, Face Shields, Disinfecting Wipes, Disposable Booties",2020-04-03 07:34:00+00:00,Other,MA,Essex,25009251100
"Nitrile Gloves, Thermometers, Disinfecting Wipes, N95 Respirators, Disposable Booties, Hand Sanitizer, Gowns, Face Shields",2020-04-03 07:34:00+00:00,Other,MA,Essex,25009251100
"Nitrile Gloves, Thermometers, Thermometers, Nitrile Gloves, Gowns, N95 Respirators, N95 Respirators, Gowns",2020-04-03 07:36:00+00:00,"Long-term care or residential healthcare facility  (including nursing home, skilled nursing facility, hospice, group home, assisted living facility, residential substance treatment facility)",MA,Norfolk,25021456101
"Surgical Masks, Disposable Booties, Disinfecting Wipes, Hand Sanitizer, Gowns, N95 Respirators, Face Shields, Nitrile Gloves",2020-04-03 07:37:08+00:00,"Long-term care or residential healthcare facility  (including nursing home, skilled nursing facility, hospice, group home, assisted living facility, residential substance treatment facility)",OK,Tulsa,40143007304
"Face Shields, Hand Sanitizer, N95 Respirators, Gowns, Nitrile Gloves, Disinfecting Wipes, Thermometers",2020-04-03 07:38:00+00:00,"Long-term care or residential healthcare facility  (including nursing home, skilled nursing facility, hospice, group home, assisted living facility, residential substance treatment facility)",CO,Broomfield,08014030300
"Gowns, Hand Sanitizer, Thermometers, Face Shields, Disinfecting Wipes, Disposable Booties, N95 Respirators, Cloth Masks, Nitrile Gloves",2020-04-03 07:40:00+00:00,"Long-term care or residential healthcare facility  (including nursing home, skilled nursing facility, hospice, group home, assisted living facility, residential substance treatment facility)",GA,Chattooga,13055010502
"Surgical Masks, Gowns, Hand Sanitizer, Face Shields, N95 Respirators, Disposable Booties, Disinfecting Wipes, Thermometers",2020-04-03 07:40:05+00:00,,OH,Medina,39103408301
"Face Shields, Hand Sanitizer, N95 Respirators, Gowns, Nitrile Gloves, Disinfecting Wipes",2020-04-03 07:41:00+00:00,,VA,,51700031400
"Nitrile Gloves, Disinfecting Wipes, Surgical Masks",2020-04-03 07:41:00+00:00,Other,FL,Marion,12083002401
"N95 Respirators, Disinfecting Wipes, Hand Sanitizer",2020-04-03 07:42:49+00:00,,PA,Dauphin,42043020100
"N95 Respirators, Cloth Masks, Thermometers, Hand Sanitizer",2020-04-03 07:43:00+00:00,,NY,Nassau,36059411700
"Surgical Masks, N95 Respirators, Thermometers, Disinfecting Wipes, Nitrile Gloves, Hand Sanitizer, Disposable Booties, Coveralls / Bunny Suits, Gowns, Face Shields",2020-04-03 07:43:59+00:00,,MD,Prince George's,24033800515
"Hand Sanitizer, Face Shields, N95 Respirators, Disinfecting Wipes",2020-04-03 07:44:00+00:00,Other,FL,Miami-Dade,12086000213
"Surgical Masks, Disposable Booties, Nitrile Gloves, Disinfecting Wipes, Hand Sanitizer",2020-04-03 07:44:14+00:00,,KY,Pike,21195930301
"Cloth Masks, Hand Sanitizer, Thermometers, Nitrile Gloves, Disinfecting Wipes, Face Shields, Gowns",2020-04-03 07:45:00+00:00,,GA,Floyd,13115001705
"Face Shields, Hand Sanitizer, Coveralls / Bunny Suits, N95 Respirators, Disinfecting Wipes, Gowns, Disposable Booties, Nitrile Gloves, Surgical Masks",2020-04-03 07:46:08+00:00,,IA,Clay,19041080200
"Gowns, Face Shields, N95 Respirators",2020-04-03 07:48:00+00:00,,VA,,51650010503
"Hand Sanitizer, Disinfecting Wipes, Face Shields, Nitrile Gloves, Surgical Masks, N95 Respirators, Disposable Booties",2020-04-03 07:49:19+00:00,,NY,Bronx,36005029600
"Face Shields, Gowns, Disinfecting Wipes, Disposable Booties, N95 Respirators",2020-04-03 07:51:00+00:00,,NY,Nassau,36059408200
"N95 Respirators, Cloth Masks",2020-04-03 07:51:00+00:00,,NC,Catawba,37035011000
"Face Shields, Cloth Masks, Hand Sanitizer, Nitrile Gloves, Thermometers, Gowns, N95 Respirators",2020-04-03 07:52:00+00:00,"Long-term care or residential healthcare facility  (including nursing home, skilled nursing facility, hospice, group home, assisted living facility, residential substance treatment facility)",MD,Harford,24025301704
"N95 Respirators, Gowns, Cloth Masks",2020-04-03 07:52:00+00:00,"Emergency medical services, urgent care clinic, or freestanding emergency room",DC,,11001010800
"Hand Sanitizer, Disinfecting Wipes, Surgical Masks, Nitrile Gloves, N95 Respirators, Thermometers",2020-04-03 07:52:38+00:00,"Shelter for unhoused people, domestic violence, youth, etc.",CA,Los Angeles,06037275313
"Disinfecting Wipes, Hand Sanitizer, Gowns, N95 Respirators, Face Shields",2020-04-03 07:53:00+00:00,"Emergency medical services, urgent care clinic, or freestanding emergency room",FL,Manatee,12081000811
"Nitrile Gloves, Thermometers, Face Shields, N95 Respirators, Disposable Booties, Hand Sanitizer, Gowns, Disinfecting Wipes",2020-04-03 07:54:00+00:00,"Emergency medical services, urgent care clinic, or freestanding emergency room",GA,Haralson,13143010303
"Disinfecting Wipes, Face Shields, Gowns, Disposable Booties, Gowns, Thermometers, Thermometers, Disinfecting Wipes, N95 Respirators, Disposable Booties, N95 Respirators, Face Shields",2020-04-03 07:54:00+00:00,Acute care hospital,CA,San Mateo,
"Thermometers, Hand Sanitizer, Face Shields, Surgical Masks, Disinfecting Wipes, Nitrile Gloves, Gowns",2020-04-03 07:54:00+00:00,"Long-term care or residential healthcare facility  (including nursing home, skilled nursing facility, hospice, group home, assisted living facility, residential substance treatment facility)",RI,Providence,44007016600
"Face Shields, N95 Respirators",2020-04-03 07:55:00+00:00,,KY,Jefferson,21111010500
"N95 Respirators, N95 Respirators",2020-04-03 07:56:00+00:00,,TX,Taylor,48441011300
"Nitrile Gloves, N95 Respirators, Thermometers, Face Shields, Cloth Masks, Hand Sanitizer, Disinfecting Wipes, Gowns, Disposable Booties",2020-04-03 07:57:00+00:00,Acute care hospital,CT,Hartford,09003514400
"N95 Respirators, Disinfecting Wipes",2020-04-03 07:57:00+00:00,Other,VA,Fairfax,51059460501
"Thermometers, Disinfecting Wipes, Cloth Masks, Gowns, Hand Sanitizer, Disposable Booties, Face Shields, N95 Respirators, Nitrile Gloves",2020-04-03 07:59:00+00:00,,FL,Orange,12095016714
"Gowns, Surgical Masks, Nitrile Gloves, Face Shields, N95 Respirators",2020-04-03 07:59:07+00:00,,GA,Richmond,13245011000
N95 Respirators,2020-04-03 08:00:00+00:00,,FL,Lee,12071050320
"Disinfecting Wipes, N95 Respirators, Hand Sanitizer",2020-04-03 08:00:00+00:00,,FL,Lee,12071050320
"Gowns, Face Shields, N95 Respirators, Nitrile Gloves, Hand Sanitizer",2020-04-03 08:00:00+00:00,Acute care hospital,CA,Orange,06059076102
N95 Respirators,2020-04-03 08:00:20+00:00,,CA,Los Angeles,06037203300
"N95 Respirators, Surgical Masks, Disinfecting Wipes, Face Shields, Hand Sanitizer, Gowns",2020-04-03 08:00:34+00:00,,TX,Dallas,48113016637
"Disinfecting Wipes, Hand Sanitizer, Disposable Booties, Nitrile Gloves, Coveralls / Bunny Suits, N95 Respirators, Thermometers, Face Shields, Gowns",2020-04-03 08:01:05+00:00,,GA,Montgomery,13209950300
"Gowns, N95 Respirators, Nitrile Gloves, Hand Sanitizer, Disinfecting Wipes, Thermometers",2020-04-03 08:01:33+00:00,,TX,Denton,48121021651
"N95 Respirators, Hand Sanitizer, Face Shields, Face Shields, Gowns, Gowns, Thermometers, Nitrile Gloves, Nitrile Gloves, Disinfecting Wipes, Thermometers, Disinfecting Wipes, N95 Respirators, Hand Sanitizer",2020-04-03 08:03:00+00:00,,WV,Tyler,54095961800
"Cloth Masks, Nitrile Gloves, Thermometers, Nitrile Gloves, Hand Sanitizer, Hand Sanitizer, Gowns, Gowns, N95 Respirators, N95 Respirators, Thermometers, Disinfecting Wipes, Disinfecting Wipes, Cloth Masks",2020-04-03 08:04:00+00:00,,TX,Fort Bend,48157673107
Gowns,2020-04-03 08:05:04+00:00,,CA,Los Angeles,06037104704
"Nitrile Gloves, Disinfecting Wipes, N95 Respirators, Face Shields, Hand Sanitizer, Gowns",2020-04-03 08:06:00+00:00,,GA,Troup,13285960300
"Disinfecting Wipes, Surgical Masks, Cloth Masks, Hand Sanitizer",2020-04-03 08:06:00+00:00,,CT,Fairfield,09001050400
"Cloth Masks, Face Shields, Hand Sanitizer, N95 Respirators, Gowns, Nitrile Gloves, Thermometers, Disinfecting Wipes",2020-04-03 08:07:00+00:00,,RI,Providence,44007015200
"Cloth Masks, Cloth Masks, Disinfecting Wipes, Thermometers, Disinfecting Wipes, Face Shields, Disinfecting Wipes, Face Shields, Cloth Masks, Thermometers, Thermometers, Face Shields, N95 Respirators, N95 Respirators, N95 Respirators",2020-04-03 08:07:00+00:00,,MA,Bristol,25005631101
"N95 Respirators, Hand Sanitizer, Face Shields, Disinfecting Wipes, Gowns",2020-04-03 08:09:00+00:00,,MI,Ingham,26065004000
"N95 Respirators, Thermometers, Surgical Masks",2020-04-03 08:09:28+00:00,,IL,Cook,17031806801
"Surgical Masks, Hand Sanitizer, Gowns, Nitrile Gloves",2020-04-03 08:10:00+00:00,Other,GA,Muscogee,13215001200
"Face Shields, Disposable Booties, Gowns, N95 Respirators",2020-04-03 08:11:00+00:00,Acute care hospital,IN,Lake,18089040401
"Disinfecting Wipes, Nitrile Gloves, Face Shields, Hand Sanitizer, Disposable Booties, Gowns, N95 Respirators, Thermometers",2020-04-03 08:12:00+00:00,Acute care hospital,VA,,51710004002
"N95 Respirators, Face Shields, Disinfecting Wipes, Hand Sanitizer",2020-04-03 08:12:00+00:00,Other,VA,Loudoun,51107611009
"Nitrile Gloves, Face Shields, N95 Respirators, Cloth Masks, Gowns, Hand Sanitizer, Disposable Booties, Thermometers",2020-04-03 08:13:00+00:00,Other,FL,Lee,12071010203
"Disinfecting Wipes, Disposable Booties, Gowns, N95 Respirators, Cloth Masks",2020-04-03 08:13:00+00:00,Other,MI,Charlevoix,26029000300
"Hand Sanitizer, Gowns, N95 Respirators, Face Shields, Disinfecting Wipes, Cloth Masks, Thermometers, Nitrile Gloves",2020-04-03 08:14:00+00:00,,NY,Richmond,36085027302
"Disinfecting Wipes, Cloth Masks, Gowns, N95 Respirators, Nitrile Gloves, Face Shields, Hand Sanitizer, Thermometers",2020-04-03 08:14:00+00:00,,TX,Dallas,48113013628
"Disinfecting Wipes, Hand Sanitizer, Face Shields, Gowns, N95 Respirators",2020-04-03 08:16:00+00:00,,GA,Polk,13233010500
Surgical Masks,2020-04-03 08:16:00+00:00,Other,NY,Nassau,36059406801
"Disinfecting Wipes, Cloth Masks, N95 Respirators, Gowns, Hand Sanitizer, Face Shields, Nitrile Gloves",2020-04-03 08:17:00+00:00,,TX,Denton,48121021725
"Face Shields, N95 Respirators",2020-04-03 08:18:00+00:00,,NC,Orange,37135012202
"N95 Respirators, Disinfecting Wipes, Nitrile Gloves, Hand Sanitizer, Disposable Booties, Face Shields, Thermometers",2020-04-03 08:18:00+00:00,,OK,Bryan,40013796102
"Nitrile Gloves, Disinfecting Wipes, N95 Respirators, Gowns, Thermometers, Hand Sanitizer, Face Shields",2020-04-03 08:20:00+00:00,"Long-term care or residential healthcare facility  (including nursing home, skilled nursing facility, hospice, group home, assisted living facility, residential substance treatment facility)",GA,Bibb,13021012900
"Gowns, Gowns, Disposable Booties, Disposable Booties, Nitrile Gloves, Disinfecting Wipes, Nitrile Gloves, Cloth Masks, Disinfecting Wipes, N95 Respirators, N95 Respirators, Cloth Masks",2020-04-03 08:21:00+00:00,,MA,Worcester,25027710700
"Disinfecting Wipes, Hand Sanitizer, Face Shields, Nitrile Gloves, N95 Respirators",2020-04-03 08:21:49+00:00,,TX,Collin,48085031647
"N95 Respirators, Face Shields",2020-04-03 08:23:00+00:00,Other,FL,Hillsborough,12057002500
"N95 Respirators, Hand Sanitizer, Face Shields, Disinfecting Wipes, Nitrile Gloves, Gowns, Thermometers",2020-04-03 08:23:00+00:00,Other,TX,El Paso,48141002202
"Thermometers, Disinfecting Wipes, Gowns, Face Shields, N95 Respirators, Hand Sanitizer, Nitrile Gloves",2020-04-03 08:24:00+00:00,,MS,Union,28145950300
"Gowns, Disposable Booties, Disposable Booties, Gowns",2020-04-03 08:24:00+00:00,Other,NY,New York,36061011500
"Nitrile Gloves, Face Shields, Disinfecting Wipes, Thermometers, Cloth Masks, Gowns, N95 Respirators",2020-04-03 08:24:00+00:00,,GA,Muscogee,13215001600
"Disposable Booties, N95 Respirators",2020-04-03 08:25:00+00:00,,FL,Broward,12011060606
"Hand Sanitizer, Thermometers, Gowns, Cloth Masks, Face Shields, N95 Respirators, Disposable Booties, Nitrile Gloves, Disinfecting Wipes",2020-04-03 08:25:00+00:00,,TX,Hunt,48231961200
"Gowns, Face Shields, Disposable Booties, N95 Respirators, Hand Sanitizer, Nitrile Gloves, Disinfecting Wipes",2020-04-03 08:25:00+00:00,,FL,Manatee,12081001904
"Face Shields, Nitrile Gloves, Gowns, Disposable Booties, N95 Respirators",2020-04-03 08:25:00+00:00,,FL,Manatee,12081001904
"Gowns, Disposable Booties, N95 Respirators, Face Shields, Disinfecting Wipes, Hand Sanitizer, Nitrile Gloves",2020-04-03 08:26:00+00:00,Acute care hospital,IL,Cook,
"N95 Respirators, Cloth Masks, Nitrile Gloves, Thermometers, Hand Sanitizer",2020-04-03 08:26:00+00:00,Other,CT,New Haven,09009184700
"N95 Respirators, Face Shields",2020-04-03 08:26:00+00:00,Acute care hospital,NJ,Passaic,34031182900
"N95 Respirators, Cloth Masks, Gowns, Face Shields",2020-04-03 08:26:00+00:00,,ME,Lincoln,23015976200
"Disinfecting Wipes, Face Shields, Nitrile Gloves, Gowns, Hand Sanitizer, Surgical Masks",2020-04-03 08:26:00+00:00,,NY,Suffolk,36103124301
"Thermometers, N95 Respirators, Hand Sanitizer, Face Shields, Disinfecting Wipes",2020-04-03 08:26:10+00:00,,CA,San Francisco,06075017804
"Disinfecting Wipes, Thermometers, Gowns, Surgical Masks, N95 Respirators",2020-04-03 08:26:54+00:00,,FL,Pinellas,12103024514
"N95 Respirators, Disinfecting Wipes, Hand Sanitizer, Face Shields, Nitrile Gloves, Disposable Booties",2020-04-03 08:28:00+00:00,,MI,Berrien,26021001100
"Hand Sanitizer, Face Shields, Gowns, N95 Respirators, Cloth Masks, Disinfecting Wipes",2020-04-03 08:29:00+00:00,Other,WV,Fayette,54019020400
"Face Shields, Gowns, Thermometers, Thermometers, Face Shields, Hand Sanitizer, N95 Respirators, Hand Sanitizer, Nitrile Gloves, Gowns, N95 Respirators, Nitrile Gloves, Disinfecting Wipes, Disinfecting Wipes",2020-04-03 08:31:00+00:00,Other,MA,Middlesex,25017383501
"Face Shields, Disposable Booties, Gowns, Surgical Masks, Nitrile Gloves",2020-04-03 08:31:00+00:00,,ME,Oxford,23017965700
"Disinfecting Wipes, N95 Respirators, Hand Sanitizer, Hand Sanitizer, Face Shields, Nitrile Gloves, Disinfecting Wipes, Face Shields, Gowns, Gowns, N95 Respirators, Thermometers, Nitrile Gloves, Thermometers",2020-04-03 08:31:00+00:00,Other,MA,Middlesex,25017383501
"Cloth Masks, Nitrile Gloves, Hand Sanitizer, Surgical Masks, Thermometers, Disinfecting Wipes",2020-04-03 08:32:00+00:00,Other,IL,Cook,17031081800
"Disinfecting Wipes, Face Shields, Nitrile Gloves, Surgical Masks, N95 Respirators, Thermometers, Coveralls / Bunny Suits, Gowns, Hand Sanitizer, Disposable Booties",2020-04-03 08:32:39+00:00,,TX,Dallas,48113013804
"Face Shields, Coveralls / Bunny Suits, Disposable Booties",2020-04-03 08:32:42+00:00,,CA,Los Angeles,06037141305
"Face Shields, Disposable Booties, Gowns, N95 Respirators, Disinfecting Wipes, Hand Sanitizer, Thermometers",2020-04-03 08:33:00+00:00,"Long-term care or residential healthcare facility  (including nursing home, skilled nursing facility, hospice, group home, assisted living facility, residential substance treatment facility)",MA,Suffolk,25025000301
"Disposable Booties, Cloth Masks, Gowns, Disinfecting Wipes, Face Shields, Hand Sanitizer, N95 Respirators",2020-04-03 08:34:00+00:00,Acute care hospital,FL,Miami-Dade,12086007603
"Gowns, Thermometers, Thermometers, Hand Sanitizer, N95 Respirators, N95 Respirators, Disinfecting Wipes, Face Shields, Nitrile Gloves, Disinfecting Wipes, Gowns, Hand Sanitizer, Face Shields, Cloth Masks, Cloth Masks, Nitrile Gloves",2020-04-03 08:34:00+00:00,Other,VA,Fairfax,51059450702
"N95 Respirators, N95 Respirators, N95 Respirators, N95 Respirators",2020-04-03 08:36:00+00:00,,WI,Waukesha,
"Disinfecting Wipes, Hand Sanitizer, Gowns, Hand Sanitizer, Disinfecting Wipes, Disposable Booties, N95 Respirators, N95 Respirators, Gowns, Thermometers, Face Shields, Face Shields, Disposable Booties, Thermometers",2020-04-03 08:36:00+00:00,,PA,Allegheny,42003160900
"N95 Respirators, Cloth Masks, Cloth Masks, Cloth Masks, N95 Respirators, N95 Respirators",2020-04-03 08:37:00+00:00,"Emergency medical services, urgent care clinic, or freestanding emergency room",NC,,
"Face Shields, Thermometers, Gowns, N95 Respirators, Disposable Booties",2020-04-03 08:37:00+00:00,,MA,Plymouth,25023524101
"Cloth Masks, Gowns, Nitrile Gloves, Surgical Masks",2020-04-03 08:38:00+00:00,Other,TX,Galveston,
"Nitrile Gloves, Disinfecting Wipes, Face Shields, N95 Respirators, Hand Sanitizer, Gowns, Thermometers",2020-04-03 08:38:00+00:00,Acute care hospital,TN,Shelby,47157003600
"Hand Sanitizer, Disinfecting Wipes, Nitrile Gloves, Thermometers, Surgical Masks, Gowns, N95 Respirators, Face Shields",2020-04-03 08:38:57+00:00,,FL,Pinellas,12103024514
"Cloth Masks, Gowns, Nitrile Gloves, Face Shields, N95 Respirators, Hand Sanitizer",2020-04-03 08:39:00+00:00,"Long-term care or residential healthcare facility  (including nursing home, skilled nursing facility, hospice, group home, assisted living facility, residential substance treatment facility)",MN,Hennepin,
"Hand Sanitizer, Disinfecting Wipes, N95 Respirators, Nitrile Gloves",2020-04-03 08:39:00+00:00,,TN,Hamilton,47065001600
"N95 Respirators, Face Shields, Nitrile Gloves, Gowns",2020-04-03 08:39:00+00:00,"Long-term care or residential healthcare facility  (including nursing home, skilled nursing facility, hospice, group home, assisted living facility, residential substance treatment facility)",MN,Hennepin,
"Face Shields, Disinfecting Wipes, N95 Respirators, Surgical Masks, Nitrile Gloves, Hand Sanitizer, Gowns",2020-04-03 08:40:00+00:00,,NC,Wake,37183053509
N95 Respirators,2020-04-03 08:40:00+00:00,"Emergency medical services, urgent care clinic, or freestanding emergency room",GA,Bleckley,13023790100
"Face Shields, N95 Respirators, Gowns, Hand Sanitizer, Disinfecting Wipes",2020-04-03 08:41:00+00:00,"Emergency medical services, urgent care clinic, or freestanding emergency room",CT,Fairfield,
"N95 Respirators, Gowns, Face Shields",2020-04-03 08:41:00+00:00,,NY,Bronx,36005022703
"Disposable Booties, Cloth Masks, Disinfecting Wipes, N95 Respirators, Nitrile Gloves, Hand Sanitizer, Thermometers, Face Shields, Gowns",2020-04-03 08:42:00+00:00,,NC,Wake,37183052701
"Face Shields, Thermometers, N95 Respirators",2020-04-03 08:42:00+00:00,Other,FL,Clay,
"Face Shields, N95 Respirators",2020-04-03 08:42:00+00:00,Other,PA,Cumberland,42041011301
